location,people_vaccinated_per_hundred,date,gdp_per_capita,continent,population,country_code
Slovenia,60.01,2021-12-23,31400.84,Europe,2078723.0,SVN
Pakistan,40.89,2021-12-24,5034.708,Asia,225199929.0,PAK
Cote d'Ivoire,12.22,2021-12-12,3601.006,Africa,27053629.0,CIV
Anguilla,66.64,2021-12-08,-inf,North America,15125.0,AIA
Georgia,33.43,2021-12-24,9745.079,Asia,3979773.0,GEO
Cuba,91.55,2021-12-22,-inf,North America,11317498.0,CUB
Saint Kitts and Nevis,51.4,2021-12-22,24654.385,North America,53546.0,KNA
Switzerland,68.34,2021-12-22,57410.166,Europe,8715494.0,CHE
Czechia,63.41,2021-12-24,32605.906,Europe,10724553.0,CZE
Dominican Republic,63.29,2021-12-23,14600.861,North America,10953714.0,DOM
Saint Helena,71.55,2021-05-05,-inf,Africa,6095.0,SHN
Bolivia,46.06,2021-12-23,6885.829,South America,11832936.0,BOL
British Virgin Islands,60.34,2021-12-17,-inf,North America,30423.0,VGB
Serbia,48.06,2021-12-22,14048.881,Europe,6871547.0,SRB
Algeria,15.73,2021-12-14,13913.839,Africa,44616626.0,DZA
New Zealand,77.52,2021-12-23,36085.843,Oceania,5122600.0,NZL
Spain,84.3,2021-12-22,34272.36,Europe,46745211.0,ESP
Morocco,65.9,2021-12-22,7485.013,Africa,37344787.0,MAR
Romania,41.46,2021-12-19,23313.199,Europe,19127772.0,ROU
Cameroon,2.96,2021-12-14,3364.926,Africa,27224262.0,CMR
Botswana,47.21,2021-12-23,15807.374,Africa,2397240.0,BWA
Ghana,18.2,2021-12-23,4227.63,Africa,31732128.0,GHA
Russia,49.73,2021-12-24,24765.954,Europe,145912022.0,RUS
United Kingdom,75.72,2021-12-23,39753.244,Europe,68207114.0,GBR
Afghanistan,11.04,2021-11-27,1803.987,Asia,39835428.0,AFG
Canada,83.11,2021-12-24,44017.591,North America,38067913.0,CAN
Central African Republic,9.08,2021-12-15,661.24,Africa,4919987.0,CAF
Gabon,17.24,2021-12-15,16562.413,Africa,2278829.0,GAB
Tuvalu,52.24,2021-10-22,3575.104,Oceania,11925.0,TUV
Maldives,72.94,2021-12-22,15183.616,Asia,543620.0,MDV
Angola,21.88,2021-12-23,5819.495,Africa,33933611.0,AGO
Guernsey,52.01,2021-04-20,-inf,Europe,63385.0,GGY
Yemen,1.83,2021-12-02,1479.147,Asia,30490639.0,YEM
Lesotho,30.05,2021-12-16,2851.153,Africa,2159067.0,LSO
Armenia,30.45,2021-12-19,8787.58,Asia,2968128.0,ARM
Tanzania,2.59,2021-12-06,2683.304,Africa,61498438.0,TZA
Palestine,39.31,2021-12-20,4449.898,Asia,5222756.0,PSE
Aruba,78.84,2021-12-24,35973.781,North America,107195.0,ABW
San Marino,71.47,2021-12-19,56861.47,Europe,34010.0,SMR
Liberia,15.15,2021-12-15,752.788,Africa,5180208.0,LBR
Barbados,54.03,2021-12-22,16978.068,North America,287708.0,BRB
Egypt,30.79,2021-12-20,10550.206,Africa,104258327.0,EGY
Dominica,40.77,2021-12-22,9673.367,North America,72172.0,DMA
Nicaragua,69.06,2021-12-15,5321.444,North America,6702379.0,NIC
Ireland,78.02,2021-12-23,67335.293,Europe,4982904.0,IRL
Malta,85.31,2021-12-23,36513.323,Europe,516100.0,MLT
Timor,49.33,2021-12-21,6570.102,Asia,1343875.0,TLS
